id,arriveTime,executionTime,executionTimeLeft,waitTime
85,0,1,1,0
13,2,1,1,0
94,2,1,1,0
33,2,1,1,0
113,4,1,1,0
51,5,1,1,0
89,5,1,1,0
91,7,1,1,0
109,8,1,1,0
116,8,1,1,0
103,8,1,1,0
80,9,1,1,0
4,9,1,1,0
10,9,1,1,0
62,11,1,1,0
26,12,1,1,0
54,14,1,1,0
49,14,1,1,0
68,14,1,1,0
115,15,1,1,0
22,15,1,1,0
88,17,1,1,0
123,17,1,1,0
48,21,1,1,0
82,21,1,1,0
98,21,1,1,0
2,23,1,1,0
119,24,1,1,0
11,25,1,1,0
8,26,1,1,0
44,28,1,1,0
18,32,1,1,0
58,38,1,1,0
30,39,1,1,0
43,40,1,1,0
37,41,1,1,0
100,41,1,1,0
104,41,1,1,0
57,41,1,1,0
124,45,1,1,0
5,47,1,1,0
40,47,1,1,0
53,47,1,1,0
114,48,1,1,0
90,48,1,1,0
47,48,1,1,0
70,48,1,1,0
67,49,1,1,0
21,50,1,1,0
63,51,1,1,0
16,51,1,1,0
71,53,1,1,0
46,53,1,1,0
31,53,1,1,0
60,55,1,1,0
120,57,1,1,0
87,57,1,1,0
92,59,1,1,0
72,61,1,1,0
97,61,1,1,0
6,62,1,1,0
86,63,1,1,0
122,65,1,1,0
99,65,1,1,0
17,65,1,1,0
73,66,1,1,0
61,66,1,1,0
56,68,1,1,0
127,69,1,1,0
34,69,1,1,0
9,70,1,1,0
105,70,1,1,0
52,71,1,1,0
102,72,1,1,0
83,73,1,1,0
118,76,1,1,0
1,77,1,1,0
15,77,1,1,0
41,77,1,1,0
101,79,1,1,0
38,79,1,1,0
117,80,1,1,0
3,80,1,1,0
74,81,1,1,0
78,83,1,1,0
29,83,1,1,0
55,86,1,1,0
66,87,1,1,0
32,87,1,1,0
24,89,1,1,0
112,90,1,1,0
108,92,1,1,0
7,92,1,1,0
79,92,1,1,0
50,93,1,1,0
25,93,1,1,0
81,93,1,1,0
95,94,1,1,0
36,94,1,1,0
111,95,1,1,0
20,96,1,1,0
106,97,1,1,0
69,99,1,1,0
27,101,1,1,0
12,101,1,1,0
107,102,1,1,0
96,103,1,1,0
23,105,1,1,0
126,105,1,1,0
65,106,1,1,0
84,106,1,1,0
77,107,1,1,0
59,109,1,1,0
125,109,1,1,0
14,109,1,1,0
42,112,1,1,0
75,114,1,1,0
28,114,1,1,0
110,116,1,1,0
19,117,1,1,0
93,119,1,1,0
39,120,1,1,0
45,125,1,1,0
64,125,1,1,0
121,126,1,1,0
0,127,1,1,0
35,128,1,1,0
76,128,1,1,0
