id    arriveTime   executionTime   executionTimeLeft   waitTime
194   3            28              28                  0
174   4            26              26                  0
229   5            15              15                  0
92    6            32              32                  0
183   6            7               7                   0
204   8            27              27                  0
231   9            3               3                   0
75    11           13              13                  0
69    11           11              11                  0
45    11           7               7                   0
49    13           23              23                  0
93    14           21              21                  0
160   15           27              27                  0
101   16           21              21                  0
18    18           28              28                  0
6     20           5               5                   0
171   26           32              32                  0
10    27           10              10                  0
33    28           24              24                  0
19    28           20              20                  0
22    31           8               8                   0
78    31           19              19                  0
91    40           29              29                  0
50    47           17              17                  0
211   49           23              23                  0
128   53           27              27                  0
131   53           24              24                  0
68    55           13              13                  0
51    56           27              27                  0
39    59           21              21                  0
235   61           20              20                  0
80    61           30              30                  0
151   63           28              28                  0
251   71           12              12                  0
24    72           12              12                  0
112   74           28              28                  0
237   78           30              30                  0
193   79           14              14                  0
169   80           17              17                  0
72    81           13              13                  0
29    84           10              10                  0
167   86           14              14                  0
14    87           30              30                  0
67    88           30              30                  0
180   89           26              26                  0
103   90           30              30                  0
228   92           6               6                   0
118   93           21              21                  0
158   93           4               4                   0
84    96           18              18                  0
161   100          14              14                  0
208   101          15              15                  0
7     102          25              25                  0
209   103          7               7                   0
85    105          27              27                  0
212   111          27              27                  0
166   112          31              31                  0
206   114          17              17                  0
156   115          4               4                   0
102   119          18              18                  0
34    122          14              14                  0
255   125          24              24                  0
21    126          23              23                  0
134   129          17              17                  0
89    131          5               5                   0
79    132          5               5                   0
117   134          25              25                  0
170   135          21              21                  0
164   136          30              30                  0
213   140          23              23                  0
59    142          6               6                   0
253   144          28              28                  0
46    144          6               6                   0
225   145          3               3                   0
77    145          17              17                  0
120   148          18              18                  0
37    149          28              28                  0
70    150          1               1                   0
43    150          2               2                   0
11    154          14              14                  0
32    154          1               1                   0
123   158          19              19                  0
35    160          23              23                  0
165   161          30              30                  0
239   161          18              18                  0
5     166          20              20                  0
60    166          16              16                  0
163   171          17              17                  0
181   172          12              12                  0
94    174          16              16                  0
73    175          10              10                  0
234   176          32              32                  0
132   181          4               4                   0
207   182          4               4                   0
31    185          4               4                   0
126   187          31              31                  0
242   190          11              11                  0
184   193          14              14                  0
200   194          17              17                  0
55    195          13              13                  0
2     195          22              22                  0
215   198          10              10                  0
135   199          11              11                  0
74    199          1               1                   0
54    203          26              26                  0
238   205          3               3                   0
97    205          29              29                  0
12    210          3               3                   0
110   211          10              10                  0
179   212          26              26                  0
233   213          21              21                  0
56    214          7               7                   0
113   217          13              13                  0
143   220          15              15                  0
106   223          16              16                  0
198   228          20              20                  0
145   231          26              26                  0
81    232          7               7                   0
186   234          18              18                  0
222   236          4               4                   0
187   237          30              30                  0
88    238          10              10                  0
172   238          26              26                  0
26    239          20              20                  0
0     242          11              11                  0
205   242          14              14                  0
53    245          10              10                  0
96    247          2               2                   0
52    250          11              11                  0
139   250          16              16                  0
155   251          3               3                   0
153   252          1               1                   0
219   257          18              18                  0
201   259          4               4                   0
87    262          30              30                  0
95    264          11              11                  0
122   264          27              27                  0
245   268          29              29                  0
124   268          17              17                  0
114   271          4               4                   0
199   272          16              16                  0
63    275          32              32                  0
42    276          9               9                   0
203   277          3               3                   0
119   279          17              17                  0
99    284          9               9                   0
244   286          20              20                  0
247   287          11              11                  0
149   294          3               3                   0
65    295          29              29                  0
218   296          32              32                  0
137   306          2               2                   0
107   308          22              22                  0
217   310          32              32                  0
130   310          6               6                   0
210   311          8               8                   0
195   311          15              15                  0
177   311          27              27                  0
142   317          20              20                  0
115   317          12              12                  0
40    318          6               6                   0
104   327          18              18                  0
116   328          26              26                  0
197   329          17              17                  0
1     330          28              28                  0
16    333          17              17                  0
41    336          19              19                  0
146   336          18              18                  0
4     336          32              32                  0
61    338          15              15                  0
127   340          23              23                  0
57    341          31              31                  0
121   344          15              15                  0
226   347          20              20                  0
249   348          10              10                  0
138   348          28              28                  0
223   354          17              17                  0
175   354          11              11                  0
66    355          23              23                  0
221   358          27              27                  0
98    359          1               1                   0
9     359          21              21                  0
100   363          30              30                  0
227   368          24              24                  0
152   369          4               4                   0
168   370          32              32                  0
136   371          7               7                   0
140   372          3               3                   0
243   373          31              31                  0
23    377          26              26                  0
133   377          7               7                   0
109   380          21              21                  0
20    381          30              30                  0
13    383          3               3                   0
30    383          21              21                  0
36    385          18              18                  0
224   385          20              20                  0
190   386          32              32                  0
64    388          9               9                   0
154   391          25              25                  0
148   391          22              22                  0
48    392          12              12                  0
241   396          6               6                   0
25    397          7               7                   0
38    399          27              27                  0
178   400          32              32                  0
191   405          21              21                  0
236   405          8               8                   0
44    408          27              27                  0
248   408          26              26                  0
214   409          13              13                  0
71    412          26              26                  0
28    415          11              11                  0
202   416          19              19                  0
3     418          16              16                  0
15    418          10              10                  0
176   421          21              21                  0
108   421          3               3                   0
141   424          12              12                  0
62    432          5               5                   0
220   439          16              16                  0
90    441          26              26                  0
150   442          27              27                  0
230   442          27              27                  0
76    446          24              24                  0
188   446          1               1                   0
86    447          32              32                  0
240   447          29              29                  0
82    448          30              30                  0
196   448          24              24                  0
246   449          22              22                  0
83    449          24              24                  0
