id   arriveTime   executionTime   executionTimeLeft   waitTime
57   0            14              14                  0
61   4            9               9                   0
17   4            11              11                  0
48   5            8               8                   0
13   7            1               1                   0
58   8            10              10                  0
34   10           2               2                   0
50   13           12              12                  0
60   16           6               6                   0
53   19           5               5                   0
3    22           11              11                  0
20   23           12              12                  0
25   25           12              12                  0
0    25           5               5                   0
45   27           12              12                  0
32   31           5               5                   0
52   31           6               6                   0
5    34           5               5                   0
14   36           10              10                  0
1    36           1               1                   0
49   37           4               4                   0
55   46           2               2                   0
30   47           4               4                   0
11   49           12              12                  0
63   49           15              15                  0
27   49           16              16                  0
6    51           1               1                   0
26   52           5               5                   0
56   54           9               9                   0
18   57           11              11                  0
22   57           3               3                   0
7    64           8               8                   0
43   65           14              14                  0
21   66           8               8                   0
12   71           14              14                  0
59   73           11              11                  0
16   74           7               7                   0
42   77           6               6                   0
39   79           1               1                   0
4    79           6               6                   0
31   82           12              12                  0
46   88           2               2                   0
2    89           2               2                   0
23   90           12              12                  0
54   90           8               8                   0
47   91           16              16                  0
8    91           7               7                   0
19   91           9               9                   0
35   92           1               1                   0
36   92           15              15                  0
33   93           6               6                   0
28   94           12              12                  0
9    96           8               8                   0
41   97           15              15                  0
40   97           13              13                  0
62   99           6               6                   0
37   102          16              16                  0
15   106          4               4                   0
10   109          4               4                   0
29   112          1               1                   0
24   118          7               7                   0
38   119          5               5                   0
44   123          4               4                   0
51   127          14              14                  0
