id    timesUsed   pageFaultAt                                                                                    swappedOutAt
30    0           [46 338 533 627 710]                                                                           [47 339 534 628 711]
44    0           [52 86 209 363 377 476 559 635 816 917]                                                        [53 87 211 364 378 479 561 636 818 918]
81    0           [503 876]                                                                                      [504 877]
118   0           [819]                                                                                          [821]
31    0           [144 235 359 366 392 532 535 942]                                                              [146 236 360 367 394 533 536 946]
82    0           [34 68 70 74 370 384 409 522 590 734 792 802 923 1021]                                         [35 69 71 76 371 386 410 523 591 735 795 803 924 1022]
15    0           [56 345]                                                                                       [57 348]
27    0           [181 201 243 375 480 568 584 789]                                                              [182 202 245 376 481 570 585 790]
51    0           [28 57 172 219 312 408 470 565 585 645 825 829 838 1016]                                       [31 58 173 220 313 409 471 566 586 646 827 830 839 1018]
71    0           [18 38 102 260 367 391 449 460 577 600 611 800 804 830 874 879 934]                            [19 39 105 262 368 392 453 461 578 601 612 801 805 833 875 880 935]
120   0           [72]                                                                                           [73]
77    0           [140 150 410 592 723 755 785 935 993 1007]                                                     [141 151 413 594 727 756 786 937 994 1008]
11    0           [542]                                                                                          [543]
20    0           [262 541 546 918 971 1002]                                                                     [263 542 548 919 972 1003]
58    0           [88 98 212 221 286 382 587 770 856 883 897 965]                                                [90 99 213 223 288 383 590 771 859 884 898 966]
19    0           [211 668 709 870]                                                                              [212 669 710 871]
26    0           [599 951]                                                                                      [600 952]
103   0           [259 526 583 598]                                                                              [260 527 584 599]
128   0           [5]                                                                                            [207]
111   0           [525]                                                                                          [526]
40    0           [149 199 268 295 315 322 376 505 515 567 638 674 682 695 786 827 880 974 1003]                 [150 200 269 297 317 323 377 506 516 568 639 675 685 696 787 828 882 975 1005]
48    0           [73 240 386 443 523 555 751 987 1022]                                                          [74 241 387 444 525 557 752 988 1023]
91    0           [168 186 266 404]                                                                              [169 187 267 405]
110   0           [91 516]                                                                                       [93 517]
39    0           [31 90 288 307 442 626 643 803 844]                                                            [33 91 289 309 443 627 645 804 845]
56    0           [47 58 106 130 157 193 233 236 360 395 453 498 510 538 543 586 654 692 711 864 946 952 992]    [50 59 107 131 158 194 234 238 362 398 455 500 511 541 546 587 655 693 712 865 947 956 993]
45    0           [19 23 27 250 301 336 348 463 537 678 713 743 780 848 863 927 979]                             [20 24 28 251 302 337 351 464 538 680 714 747 781 849 864 928 980]
47    0           [241 276 304 424 492 520 596 621 630 636 675 707 736 884]                                      [243 279 305 425 494 522 598 622 631 637 676 709 737 885]
