id    timesUsed   pageFaultAt                swappedOutAt
99    0           [65 184]                   [81 202]
120   0           [69]                       [88]
50    0           [9]                        [29]
98    0           [78]                       [98]
45    0           [70]                       [89]
27    0           [161]                      [178]
24    0           [166]                      [183]
39    0           [174 217]                  [191 236]
35    0           [18 103 213]               [39 123 232]
42    0           [169]                      [186]
116   0           [218]                      [239]
46    0           [5 122]                    [22 147]
128   0           [175]                      [192]
66    0           [61 102 223]               [77 122 244]
37    0           [44 77 178 222]            [65 97 195 243]
76    0           [30 114 147 214]           [49 137 168 233]
52    0           [56 97 130 219]            [72 116 157 240]
55    0           [28 135 186 225]           [46 161 204 247]
56    0           [62 164]                   [78 181]
79    0           [41 76]                    [62 96]
81    0           [46 79 129 179]            [67 100 156 196]
44    0           [11 34 90 167 189]         [31 57 109 184 206]
78    0           [26 109 229]               [44 130 249]
54    0           [27 100 121 171 199 234]   [45 118 144 187 218 254]
33    0           [2 162]                    [18 179]
104   0           [35]                       [58]
63    0           [7 144 181]                [27 167 199]
34    0           [88 137]                   [107 162]
36    0           [75 155 192 235]           [95 173 209 255]
25    0           [8 63]                     [28 79]
107   0           [86]                       [106]
26    0           [160 194]                  [177 214]
108   0           [203]                      [223]
72    0           [39 123 231]               [61 148 251]
102   0           [31]                       [51]
92    0           [182]                      [200]
83    0           [0 138 183]                [16 163 201]
67    0           [33 82 221]                [56 103 241]
106   0           [13 68 230]                [33 86 250]
60    0           [16]                       [37]
82    0           [42 108]                   [63 129]
49    0           [43 116 156]               [64 139 174]
47    0           [89 117 165 216]           [108 142 182 235]
61    0           [4 73 96 193]              [21 92 115 213]
18    0           [22]                       [43]
31    0           [118]                      [143]
94    0           [233]                      [253]
53    0           [74 126]                   [94 152]
30    0           [37 201]                   [59 221]
112   0           [80]                       [101]
14    0           [180]                      [197]
85    0           [10]                       [30]
86    0           [58 112 187]               [74 135 205]
64    0           [14 115 191]               [34 138 208]
65    0           [98 196 224]               [117 216 246]
70    0           [32 92]                    [54 111]
109   0           [200]                      [219]
48    0           [128 202]                  [155 222]
101   0           [111]                      [133]
74    0           [3 57 105 131 204]         [19 73 124 159 224]
41    0           [133]                      [160]
71    0           [17 45 67 157 207]         [38 66 85 175 229]
105   0           [64 91]                    [80 110]
84    0           [71 143]                   [90 166]
89    0           [15 59 177 215]            [35 75 194 234]
118   0           [226]                      [248]
38    0           [19]                       [41]
20    0           [60 248]                   [76]
77    0           [110 152 249]              [131 172]
73    0           [54 205 241]               [71 225]
51    0           [12 51 250]                [32 70]
75    0           [38 163 206 251]           [60 180 226]
69    0           [66 94 139 176 195 240]    [82 112 164 193 215]
23    0           [246]                      []
90    0           [124 173 243]              [150 190]
91    0           [1 244]                    [17]
80    0           [159 197 247]              [176 217]
88    0           [81 185 253]               [102 203]
58    0           [29 101 150 208 252]       [47 121 171 230]
62    0           [47 168 190 255]           [68 185 207]
57    0           [6 85 107 148 209 236]     [26 105 128 169 231]
68    0           [72 95 142 172 239]        [91 114 165 189]
59    0           [21 49 106 232 254]        [42 69 126 252]
