id    timesUsed   pageFaultAt                    swappedOutAt
81    0           [46 79 129 146 179]            [47 80 130 147 180]
75    0           [38 52 163 206 251]            [39 53 164 207 253]
116   0           [218 228]                      [219 229]
109   0           [200]                          [201]
33    0           [2 162]                        [141 163]
77    0           [110 152 249]                  [111 155 251]
98    0           [78]                           [79]
49    0           [43 50 116 156]                [44 52 117 157]
48    0           [128 202 212]                  [129 203 213]
54    0           [27 100 121 141 171 199 234]   [28 101 123 142 172 200 235]
88    0           [81 87 185 253]                [82 88 186 255]
118   0           [226]                          [228]
34    0           [88 137 149]                   [89 138 150]
60    0           [16]                           [17]
107   0           [86]                           [87]
102   0           [31]                           [32]
73    0           [54 205 220 241]               [55 206 222 243]
104   0           [35]                           [36]
70    0           [32 92]                        [33 94]
56    0           [62 164]                       [64 165]
92    0           [182]                          [183]
39    0           [174 217]                      [175 218]
94    0           [233 238]                      [234 239]
47    0           [89 117 165 216]               [91 118 166 217]
55    0           [28 135 186 188 225]           [29 136 187 190 226]
52    0           [56 97 130 219]                [58 98 133 220]
101   0           [111]                          [112]
83    0           [0 138 183]                    [84 139 184]
27    0           [161]                          [162]
23    0           [246]                          [247]
20    0           [60 248]                       [61 249]
66    0           [61 102 223]                   [62 103 225]
112   0           [80]                           [81]
120   0           [69]                           [70]
108   0           [203]                          [205]
90    0           [124 136 173 243]              [125 137 174 244]
76    0           [30 114 120 147 214]           [31 115 121 149 215]
30    0           [37 201]                       [38 202]
31    0           [118]                          [119]
91    0           [1 244]                        [152 246]
50    0           [9]                            [26]
37    0           [44 53 77 178 222 237]         [45 54 78 179 223 238]
105   0           [64 91]                        [65 92]
64    0           [14 115 119 134 191]           [100 116 120 135 192]
85    0           [10]                           [146]
26    0           [160 194]                      [161 197]
24    0           [166]                          [168]
35    0           [18 103 213]                   [19 108 214]
38    0           [19]                           [21]
86    0           [58 112 187]                   [59 113 188]
18    0           [22]                           [23]
89    0           [15 59 177 215]                [16 60 178 216]
78    0           [26 109 229]                   [27 110 231]
72    0           [39 123 125 231]               [40 124 126 233]
14    0           [180]                          [182]
36    0           [75 155 158 192 235]           [76 156 159 194 237]
41    0           [133]                          [134]
99    0           [65 184]                       [66 185]
53    0           [74 126]                       [75 128]
42    0           [169]                          [171]
79    0           [41 76]                        [42 77]
80    0           [159 197 247]                  [160 199 248]
71    0           [17 36 45 67 157 207]          [18 37 46 69 158 212]
68    0           [72 84 95 142 172 239]         [74 86 97 143 173 241]
128   0           [175]                          [177]
45    0           [70]                           [71]
82    0           [42 55 108 113]                [43 56 109 114]
106   3           [13]                           []
84    2           [71 143]                       [72]
61    6           [4]                            []
25    2           [8]                            []
62    1           [47 168 190 255]               [50 169 191]
74    6           [3]                            []
51    3           [12]                           []
59    7           [21 23]                        [22]
58    6           [29 101 150]                   [30 102]
69    6           [66 94 139]                    [67 95]
67    3           [33 40 82]                     [35 41]
65    6           [98]                           []
46    3           [5]                            []
57    8           [6]                            []
63    4           [7]                            []
44    8           [11]                           []
