id    arriveTime   executionTime   executionTimeLeft   waitTime
103   0            2               0                   1090
104   0            1               0                   1089
86    0            10              0                   1079
50    0            16              0                   1063
91    2            16              0                   1047
37    2            16              0                   1031
116   2            12              0                   1019
88    2            12              0                   1007
28    3            5               0                   1002
39    3            1               0                   1001
40    3            3               0                   998
99    3            5               0                   993
109   4            15              0                   978
87    7            16              0                   962
62    11           9               0                   953
60    12           2               0                   951
38    12           6               0                   945
15    12           6               0                   939
111   13           13              0                   926
41    14           8               0                   918
121   15           1               0                   0
105   16           11              0                   906
25    17           15              0                   891
8     17           14              0                   877
48    19           12              0                   865
112   19           14              0                   851
97    20           2               0                   0
59    22           13              0                   836
29    22           16              0                   820
123   24           13              0                   807
118   25           10              0                   797
9     26           5               0                   792
94    26           14              0                   778
55    27           6               0                   772
72    30           8               0                   764
113   31           2               0                   762
106   31           15              0                   747
125   31           15              0                   732
43    31           1               0                   0
0     32           1               0                   730
126   32           4               0                   726
2     32           4               0                   722
110   32           2               0                   0
54    34           1               0                   0
73    37           15              0                   704
101   39           12              0                   692
67    40           7               0                   685
127   42           2               0                   683
100   43           13              0                   670
89    44           9               0                   661
84    46           14              0                   647
63    47           12              0                   635
51    48           14              0                   621
77    49           8               0                   613
46    50           6               0                   607
19    51           1               0                   0
66    55           15              0                   591
80    56           5               0                   586
18    57           9               0                   577
117   57           5               0                   572
71    58           10              0                   562
76    58           16              0                   546
17    60           9               0                   537
22    61           14              0                   523
30    63           4               0                   519
95    65           3               0                   516
96    65           1               0                   0
24    67           13              0                   502
81    67           5               0                   497
4     69           2               0                   0
79    71           10              0                   485
12    74           11              0                   474
45    76           7               0                   467
26    76           7               0                   460
27    76           5               0                   455
58    77           5               0                   450
56    78           9               0                   441
83    79           10              0                   431
70    79           10              0                   421
85    80           16              0                   405
23    80           10              0                   395
7     80           10              0                   385
74    82           9               0                   376
75    84           10              0                   366
90    84           5               0                   361
61    85           10              0                   351
44    86           14              0                   337
57    89           10              0                   327
98    89           4               0                   323
47    90           3               0                   0
82    93           9               0                   311
78    94           3               0                   308
119   95           8               0                   300
93    96           5               0                   295
53    96           4               0                   291
69    97           8               0                   283
21    99           1               0                   0
65    102          5               0                   277
68    102          16              0                   261
33    102          16              0                   245
92    103          7               0                   238
102   103          4               0                   234
49    103          11              0                   223
107   106          13              0                   210
108   106          2               0                   0
52    108          6               0                   202
20    108          9               0                   193
5     109          13              0                   180
122   109          3               0                   177
114   109          15              0                   162
31    109          13              0                   149
3     112          9               0                   140
42    114          11              0                   129
13    114          15              0                   114
115   115          4               0                   110
32    116          5               0                   105
124   116          7               0                   98
6     116          11              0                   87
14    117          4               0                   83
34    118          9               0                   74
16    118          16              0                   58
1     118          9               0                   49
11    120          2               0                   47
10    120          4               0                   43
35    120          7               0                   36
36    122          6               0                   30
120   124          15              0                   15
64    128          15              0                   0
