id    arriveTime   executionTime   executionTimeLeft   waitTime
0     0            18              0                   4060
1     0            16              0                   4044
2     0            3               0                   4041
3     0            13              0                   4028
4     0            6               0                   4022
5     0            8               0                   4014
6     0            20              0                   3994
7     0            28              0                   3966
8     0            13              0                   3953
9     0            11              0                   3942
10    0            16              0                   3926
11    0            4               0                   3922
12    0            24              0                   3898
13    0            22              0                   3876
14    0            12              0                   3864
15    0            5               0                   3859
16    0            2               0                   3857
17    0            18              0                   3839
18    0            29              0                   3810
19    0            21              0                   3789
20    0            14              0                   3775
21    0            2               0                   3773
22    0            10              0                   3763
23    0            28              0                   3735
24    0            6               0                   3729
25    0            3               0                   3726
26    0            21              0                   3705
27    0            11              0                   3694
28    0            8               0                   3686
29    0            17              0                   3669
30    0            14              0                   3655
31    0            2               0                   3653
32    0            3               0                   3650
33    0            10              0                   3640
34    0            9               0                   3631
35    0            20              0                   3611
36    0            20              0                   3591
37    0            2               0                   3589
38    0            2               0                   3587
39    0            27              0                   3560
40    0            19              0                   3541
41    0            26              0                   3515
42    0            7               0                   3508
43    0            8               0                   3500
44    0            10              0                   3490
45    0            25              0                   3465
46    0            21              0                   3444
47    0            4               0                   3440
48    0            3               0                   3437
49    0            22              0                   3415
50    0            22              0                   3393
51    0            28              0                   3365
52    0            30              0                   3335
53    0            1               0                   3334
54    0            13              0                   3321
55    0            4               0                   3317
56    0            27              0                   3290
57    0            25              0                   3265
58    0            26              0                   3239
59    0            4               0                   3235
60    0            10              0                   3225
61    0            1               0                   3224
62    0            4               0                   3220
63    0            1               0                   3219
64    0            20              0                   3199
65    0            1               0                   3198
66    0            26              0                   3172
67    0            15              0                   3157
68    0            27              0                   3130
69    0            30              0                   3100
70    0            1               0                   3099
71    0            13              0                   3086
72    0            15              0                   3071
73    0            6               0                   3065
74    0            1               0                   3064
75    0            8               0                   3056
76    0            19              0                   3037
77    0            31              0                   3006
78    0            1               0                   3005
79    0            15              0                   2990
80    0            18              0                   2972
81    0            14              0                   2958
82    0            23              0                   2935
83    0            30              0                   2905
84    0            25              0                   2880
85    0            26              0                   2854
86    0            3               0                   2851
87    0            3               0                   2848
88    0            30              0                   2818
89    0            20              0                   2798
90    0            13              0                   2785
91    0            20              0                   2765
92    0            28              0                   2737
93    0            25              0                   2712
94    0            22              0                   2690
95    0            1               0                   2689
96    0            8               0                   2681
97    0            2               0                   2679
98    0            23              0                   2656
99    0            19              0                   2637
100   0            6               0                   2631
101   0            17              0                   2614
102   0            18              0                   2596
103   0            26              0                   2570
104   0            18              0                   2552
105   0            9               0                   2543
106   0            8               0                   2535
107   0            29              0                   2506
108   0            15              0                   2491
109   0            2               0                   2489
110   0            18              0                   2471
111   0            9               0                   2462
112   0            7               0                   2455
113   0            9               0                   2446
114   0            7               0                   2439
115   0            20              0                   2419
116   0            19              0                   2400
117   0            6               0                   2394
118   0            13              0                   2381
119   0            29              0                   2352
120   0            21              0                   2331
121   0            23              0                   2308
122   0            10              0                   2298
123   0            27              0                   2271
124   0            2               0                   2269
125   0            15              0                   2254
126   0            32              0                   2222
127   0            1               0                   2221
128   0            21              0                   2200
129   0            15              0                   2185
130   0            18              0                   2167
131   0            29              0                   2138
132   0            5               0                   2133
133   0            10              0                   2123
134   0            18              0                   2105
135   0            3               0                   2102
136   0            8               0                   2094
137   0            28              0                   2066
138   0            32              0                   2034
139   0            5               0                   2029
140   0            11              0                   2018
141   0            10              0                   2008
142   0            11              0                   1997
143   0            23              0                   1974
144   0            20              0                   1954
145   0            14              0                   1940
146   0            28              0                   1912
147   0            28              0                   1884
148   0            13              0                   1871
