id    arriveTime   executionTime   executionTimeLeft   waitTime
194   3            28              0                   0
174   4            26              0                   2754
229   5            15              0                   818
92    6            32              0                   4105
183   6            7               0                   40
204   8            27              0                   2802
231   9            3               0                   22
75    11           13              0                   635
69    11           11              0                   60
45    11           7               0                   28
49    13           23              0                   2153
93    14           21              0                   1953
160   15           27              0                   3065
101   16           21              0                   1888
18    18           28              0                   3143
6     20           5               0                   14
171   26           32              0                   4181
10    27           10              0                   34
33    28           24              0                   2277
19    28           20              0                   1689
22    31           8               0                   22
78    31           19              0                   1412
91    40           29              0                   3317
50    47           17              0                   1010
211   49           23              0                   2094
128   53           27              0                   3054
131   53           24              0                   2324
68    55           13              0                   643
51    56           27              0                   2943
39    59           21              0                   1866
235   61           20              0                   1576
80    61           30              0                   3620
151   63           28              0                   3266
251   71           12              0                   11
24    72           12              0                   53
112   74           28              0                   3199
237   78           30              0                   3783
193   79           14              0                   730
169   80           17              0                   1130
72    81           13              0                   85
29    84           10              0                   27
167   86           14              0                   625
14    87           30              0                   3714
67    88           30              0                   3473
180   89           26              0                   2461
103   90           30              0                   3741
228   92           6               0                   6
118   93           21              0                   1769
158   93           4               0                   1
84    96           18              0                   1184
161   100          14              0                   639
208   101          15              0                   752
7     102          25              0                   2372
209   103          7               0                   1
85    105          27              0                   2813
212   111          27              0                   2861
166   112          31              0                   3841
206   114          17              0                   977
156   115          4               0                   6
102   119          18              0                   1125
34    122          14              0                   645
255   125          24              0                   2300
21    126          23              0                   2063
134   129          17              0                   979
89    131          5               0                   6
79    132          5               0                   10
117   134          25              0                   2365
170   135          21              0                   1811
164   136          30              0                   3395
213   140          23              0                   2072
59    142          6               0                   11
253   144          28              0                   3101
46    144          6               0                   16
225   145          3               0                   2
77    145          17              0                   1048
120   148          18              0                   1240
37    149          28              0                   3068
70    150          1               0                   0
43    150          2               0                   1
11    154          14              0                   641
32    154          1               0                   5
123   158          19              0                   1380
35    160          23              0                   1960
165   161          30              0                   3430
239   161          18              0                   1245
5     166          20              0                   1571
60    166          16              0                   762
163   171          17              0                   869
181   172          12              0                   413
94    174          16              0                   770
73    175          10              0                   4
234   176          32              0                   4127
132   181          4               0                   8
207   182          4               0                   11
31    185          4               0                   12
126   187          31              0                   3735
242   190          11              0                   114
184   193          14              0                   532
200   194          17              0                   880
55    195          13              0                   438
2     195          22              0                   1793
215   198          10              0                   4
135   199          11              0                   138
74    199          1               0                   2
54    203          26              0                   2399
238   205          3               0                   7
97    205          29              0                   3239
12    210          3               0                   5
110   211          10              0                   14
179   212          26              0                   2572
233   213          21              0                   1670
56    214          7               0                   4
113   217          13              0                   455
143   220          15              0                   618
106   223          16              0                   769
198   228          20              0                   1349
145   231          26              0                   2293
81    232          7               0                   3
186   234          18              0                   1064
222   236          4               0                   6
187   237          30              0                   3474
88    238          10              0                   8
172   238          26              0                   2390
26    239          20              0                   1438
0     242          11              0                   310
205   242          14              0                   539
53    245          10              0                   21
96    247          2               0                   10
52    250          11              0                   313
139   250          16              0                   758
155   251          3               0                   8
153   252          1               0                   4
219   257          18              0                   1077
201   259          4               0                   3
87    262          30              0                   3359
95    264          11              0                   178
122   264          27              0                   2762
245   268          29              0                   3234
124   268          17              0                   857
114   271          4               0                   5
199   272          16              0                   752
63    275          32              0                   4092
42    276          9               0                   7
203   277          3               0                   3
119   279          17              0                   863
99    284          9               0                   8
244   286          20              0                   1331
247   287          11              0                   71
149   294          3               0                   7
65    295          29              0                   3120
218   296          32              0                   3847
137   306          2               0                   9
107   308          22              0                   1768
217   310          32              0                   3929
130   310          6               0                   7
210   311          8               0                   18
195   311          15              0                   572
177   311          27              0                   2634
142   317          20              0                   1340
115   317          12              0                   304
40    318          6               0                   5
104   327          18              0                   1025
116   328          26              0                   2352
197   329          17              0                   830
1     330          28              0                   2971
16    333          17              0                   843
41    336          19              0                   1183
146   336          18              0                   1034
4     336          32              0                   3711
61    338          15              0                   560
127   340          23              0                   1895
57    341          31              0                   3643
121   344          15              0                   569
226   347          20              0                   1350
249   348          10              0                   0
138   348          28              0                   2841
223   354          17              0                   873
175   354          11              0                   220
66    355          23              0                   1903
221   358          27              0                   2776
98    359          1               0                   10
9     359          21              0                   1461
100   363          30              0                   3408
227   368          24              0                   1913
152   369          4               0                   1
168   370          32              0                   3901
136   371          7               0                   6
140   372          3               0                   2
243   373          31              0                   3518
23    377          26              0                   2355
133   377          7               0                   10
109   380          21              0                   1377
20    381          30              0                   3270
13    383          3               0                   1
30    383          21              0                   1395
36    385          18              0                   877
224   385          20              0                   1172
190   386          32              0                   3629
64    388          9               0                   6
154   391          25              0                   2058
148   391          22              0                   1619
48    392          12              0                   205
241   396          6               0                   7
25    397          7               0                   12
38    399          27              0                   2465
178   400          32              0                   3775
191   405          21              0                   1394
236   405          8               0                   11
44    408          27              0                   2645
248   408          26              0                   2246
214   409          13              0                   250
71    412          26              0                   2294
28    415          11              0                   104
202   416          19              0                   1046
3     418          16              0                   542
15    418          10              0                   9
176   421          21              0                   1420
108   421          3               0                   3
141   424          12              0                   185
62    432          5               0                   5
220   439          16              0                   537
90    441          26              0                   2135
150   442          27              0                   2449
230   442          27              0                   2395
76    446          24              0                   1955
188   446          1               0                   7
86    447          32              0                   3888
240   447          29              0                   2939
82    448          30              0                   3293
196   448          24              0                   1881
246   449          22              0                   1649
83    449          24              0                   1904
254   451          9               0                   16
58    451          7               0                   3
216   458          22              0                   1596
105   461          6               0                   0
185   462          14              0                   291
250   463          19              0                   1018
182   464          22              0                   1568
144   465          18              0                   851
17    467          11              0                   63
173   468          19              0                   956
147   473          19              0                   1027
159   473          32              0                   3606
189   474          15              0                   394
157   475          5               0                   1
252   478          9               0                   3
125   479          13              0                   206
192   482          11              0                   59
111   487          10              0                   3
232   491          29              0                   2982
27    495          1               0                   5
8     496          8               0                   7
129   496          2               0                   5
162   503          8               0                   8
47    508          20              0                   1089
