id,timesUsed,pageFaultAt,swappedOutAt
22,0,[1 137 218 228 231 252 267 297 327 333 369 375 475 482 500 528 538 586 592 652 784 863 882 915 983 993 1012],[115 139 223 229 233 258 282 299 332 341 374 386 478 493 501 537 549 589 607 657 791 865 883 920 991 996 1021]
28,0,[203 299 342 591 996],[204 300 347 592 999]
3,0,[347 893],[355 896]
29,0,[152 171 201 407 553 808],[156 182 203 414 556 812]
6,0,[36 156 194 197 386 399 406 418 427 581 625 680 712 735 837 865],[38 162 195 198 387 405 407 421 432 586 631 686 720 736 840 867]
26,0,[45 208 549 660 840],[56 216 553 665 842]
31,0,[740 991],[753 993]
0,0,[90 100 216 308 444 612],[92 104 218 317 449 615]
24,0,[115 143 182 196 233 357 472 498 537 610 615 631 691 720 812 830 867],[125 146 186 197 241 365 473 500 538 612 625 641 712 722 813 835 876]
7,0,[67 74 139 142 166 186 206 230 265 304 365 405 432 455 556 645 686 722 880 883 909 920 952 981],[71 79 141 143 171 192 208 231 267 307 369 406 439 466 581 652 691 735 882 893 914 923 954 983]
5,0,[146 162 258 332 478 589 657 765 923],[152 166 263 333 482 591 660 784 927]
21,0,[34 56 59 79 92 125 192 195 224 229 263 282 301 307 317 341 355 374 387 421 441 449 466 473 501 514 607 641 665 753 791 822 835 842 876 896 914 927 954],[36 58 63 81 95 136 194 196 228 230 265 297 304 308 319 342 357 375 399 427 444 455 472 475 505 525 610 645 680 765 808 828 837 863 880 909 915 952 981]
27,0,[64 71 104 300 414 505 525 736 813 999],[65 74 252 301 418 514 528 740 814 1012]
32,0,[493 828],[498 830]
4,0,[58 85 136 319 439 814],[59 90 137 327 441 822]
25,15,[2],[]
16,93,[4],[]
8,26,[14],[]
15,71,[15],[]
20,58,[26],[]
14,62,[30],[]
30,1,[1021],[]
17,68,[5],[]
10,43,[21],[]
18,55,[0],[]
9,45,[20],[]
12,71,[8],[]
23,32,[9],[]
13,74,[13],[]
19,53,[38 63 65 81 95 141 198 204 223 241],[45 64 67 85 100 142 201 206 224]
11,50,[6],[]
