id   timesUsed   pageFaultAt          swappedOutAt
5    0           [18]                 [80]
29   0           [145]                [204]
7    0           [3 40 164]           [37 113 214]
14   0           [6 50 136 199]       [44 120 184 255]
17   0           [1 44 126 193]       [34 115 178 252]
9    0           [13 74 172]          [73 141 232]
11   0           [8 106 185]          [56 155 250]
24   0           [80 182]             [145 243]
10   0           [7 111]              [50 168]
28   0           [120]                [174]
27   0           [132]                [182]
13   0           [10 65 139 206]      [62 137 193]
21   0           [29 150 211]         [100 206]
26   0           [26 214]             [91]
23   0           [5 137 213]          [40 185]
19   0           [61 142 232]         [132 201]
3    0           [170 252]            [224]
8    0           [15 178 247]         [76 241]
12   0           [14 76 151 250]      [74 142 211]
16   0           [9 62 141 201]       [61 136 199]
4    0           [100 204]            [151]
18   0           [0 34 110 168 224]   [29 106 164 220]
22   0           [12 91 220]          [65 150]
15   0           [2 37 113 174 243]   [36 111 170 240]
6    0           [56 155 241]         [126 213]
25   0           [73 240]             [139]
20   0           [36 115 184 255]     [110 172 247]
