id   timesUsed   pageFaultAt                   swappedOutAt
28   0           [120]                         [121]
19   0           [61 77 84 101 130 142 232]    [73 80 100 102 132 145 234]
21   0           [29 150 159 211]              [36 155 170 213]
24   0           [80 102 182 205]              [82 120 204 211]
4    0           [100 121 204]                 [101 130 205]
3    0           [170 252]                     [182 253]
23   0           [5 137 146 158 213 234 242]   [56 142 150 159 214 240 246]
6    0           [56 155 241 246]              [61 158 242 252]
29   0           [145]                         [146]
26   0           [26 82 214]                   [29 84 232]
27   0           [132]                         [133]
17   19          [1]                           []
15   17          [2]                           []
14   17          [6]                           []
16   31          [9]                           []
25   1           [73 133 240 253]              [77 137 241]
10   7           [7]                           []
11   7           [8]                           []
22   8           [12]                          []
12   22          [14]                          []
8    9           [15]                          []
20   9           [36]                          []
18   23          [0]                           []
13   19          [10]                          []
7    5           [3]                           []
9    16          [13]                          []
5    2           [18]                          []
