id   timesUsed   pageFaultAt               swappedOutAt
6    4           [56 155 241]              [61 158 252]
3    2           [170 252]                 [182 253]
5    2           [18]                      [80]
28   1           [120]                     [121]
26   3           [26 82 214]               [29 100 234]
4    3           [100 121 204]             [102 132 205]
27   1           [132]                     [133]
7    5           [3]                       [240]
21   4           [29 150 159 211]          [36 155 170 213]
29   1           [145]                     [146]
24   5           [80 102 182 205]          [82 120 204 211]
10   7           [7]                       []
20   9           [36]                      []
15   17          [2]                       []
18   23          [0]                       []
12   22          [14]                      []
19   10          [61 77]                   [73]
16   31          [9]                       []
23   7           [5 137 146 158 213 234]   [56 145 150 159 214]
14   17          [6]                       []
11   7           [8]                       []
13   19          [10]                      []
22   8           [12]                      []
9    16          [13]                      []
8    9           [15]                      []
17   19          [1]                       []
25   4           [73 133 240 253]          [77 137 241]
