id   timesUsed   pageFaultAt                             swappedOutAt
3    1           [450]                                   [453]
30   1           [6]                                     [65]
5    5           [119 218 297 408]                       [120 226 298 416]
28   1           [467]                                   [488]
32   1           [256]                                   [267]
1    1           [303]                                   [312]
2    5           [26 268 277 375 460]                    [31 273 285 379 467]
0    2           [108 416]                               [111 432]
24   10          [83 187 255 273 323 379 391 449 494]    [93 191 256 277 325 381 397 450 511]
27   5           [25 49 169 230 234]                     [40 82 173 232 235]
26   5           [7 161 201 339 387]                     [47 169 210 356 391]
4    4           [8 191 367 488]                         [52 201 372 494]
25   11          [103 136 210 235 325 356 381 397 435]   [108 149 218 255 335 363 387 408 449]
29   1           [363]                                   [367]
6    2           [173 298]                               [174 299]
8    12          [31]                                    [460]
12   15          [9 312 335 372 432 457]                 [303 323 339 375 435]
14   38          [40]                                    []
23   13          [56 65 285 299]                         [61 234 297]
20   34          [0]                                     []
19   32          [4]                                     []
15   36          [47 52]                                 [49]
18   43          [10]                                    []
22   21          [11]                                    []
11   32          [22]                                    []
9    24          [24 61]                                 [56]
10   19          [82 93 120]                             [83 103]
17   37          [1]                                     []
16   42          [5]                                     []
21   16          [111 149 174 226 232]                   [119 161 182 230]
7    8           [2 182 267 453 511]                     [136 187 268 457]
13   35          [16]                                    []
