id   timesUsed   pageFaultAt                                                                                    swappedOutAt
60   0           [372 475]                                                                                      [397 499]
40   0           [36 89 119 283 317 352 407 485 521 644 764 806 847 916]                                        [63 109 153 311 340 375 432 510 544 672 791 834 870 945]
47   0           [0 92 122 287 315 350 439 491 545 582 922 962]                                                 [26 111 154 314 338 374 471 518 577 610 949 987]
26   0           [32 101 137 176 215 305 328 353 400 450 507 578 608 721 752 823 873 938 970]                   [61 124 167 205 244 327 349 376 425 483 529 607 627 744 773 850 898 967 995]
13   0           [68 111 161 310 365 471 509 620 786 853 901 945]                                               [93 137 182 331 386 497 531 648 808 876 938 972]
54   0           [193 243 307 490 538 736 773]                                                                  [216 268 328 515 569 755 798]
51   0           [69 329 707 762 804]                                                                           [94 350 734 788 831]
11   0           [62 333 595]                                                                                   [84 358 616]
59   0           [186 634]                                                                                      [214 661]
18   0           [71 130 187 298 360 390 438 497 563 635 691 733 769 831 888 987]                               [97 162 215 320 383 414 470 523 594 664 721 753 793 854 919 1015]
24   0           [16 57 97 136 194 219 257 464 514 588 695 833 862 947 980]                                     [41 80 118 166 217 251 286 490 537 613 725 856 886 974 1010]
57   0           [88 134 759 863]                                                                               [108 164 785 888]
55   0           [573 697]                                                                                      [600 731]
48   0           [31 107 277 664 703 742 870]                                                                   [58 134 308 689 732 762 895]
8    0           [87 648 731 890]                                                                               [107 677 751 921]
16   0           [98 199 249 413 536 623 848 939]                                                               [119 222 277 441 564 652 871 969]
0    0           [156 499]                                                                                      [178 524]
23   0           [61 112 170 218 251 339 379 418 476 527 572 600 637 696 771 845 981]                           [83 140 197 250 281 363 407 450 500 553 599 620 668 729 795 868 1012]
43   0           [41 259 397 441 515 539 636 746 821 906]                                                       [68 288 419 475 538 572 665 767 848 942]
49   0           [598 784 984]                                                                                  [618 806 1014]
22   0           [44 175 256 322 371 403 442 531 587 622 743 791 854 894 988]                                   [70 204 284 344 396 430 476 558 612 650 763 811 879 927 1016]
19   0           [42 106 236 373 410 486 524 558 593 639 719 783 930]                                           [69 131 264 398 438 511 548 588 614 669 742 805 962]
52   0           [327 422 482 553 583 617 969]                                                                  [348 453 504 582 611 644 994]
9    0           [263 393 665]                                                                                  [293 415 691]
7    0           [314 869]                                                                                      [337 894]
12   0           [10 312 523 610 867 898 983]                                                                   [36 333 547 630 891 934 1013]
50   0           [66 201 607 808 948]                                                                           [89 223 624 839 975]
17   0           [18 204 324 384 425 596 738 795 995]                                                           [42 230 346 410 454 617 758 821 1023]
53   0           [21 135 522]                                                                                   [47 165 545]
21   0           [56 94 142 206 278 344 376 470 519 641 681 767 805 835 900]                                    [79 116 171 235 309 368 403 495 540 671 708 792 833 860 937]
44   0           [22 84 178 213 341 396 534 564 676 723 834 926]                                                [49 106 206 242 367 418 562 595 703 746 857 950]
10   0           [286]                                                                                          [313]
20   0           [9 129 163 235 297 320 348 383 426 614 650 684 724 785 809 850 918 989]                        [35 161 186 263 317 341 372 409 459 637 680 712 747 807 841 873 946 1018]
15   0           [96 124 252 346 415 627 677 770 857]                                                           [117 156 283 369 444 654 706 794 883]
5    0           [4 311]                                                                                        [29 332]
41   0           [58 93 153 241 299 331 359 430 480 565 599 669 714 763 798 860 954]                            [82 112 175 266 322 353 382 462 501 596 619 694 740 789 823 884 981]
27   0           [65 99 128 202 242 271 326 493 609 630 693 753 793 842 868 895 975]                            [88 122 160 228 267 307 347 519 629 660 723 777 815 864 892 928 1006]
64   0           [166]                                                                                          [194]
46   0           [39 143 197 340 382 452 557 612 706 807 872 929 990]                                           [66 173 219 365 408 484 587 635 733 835 897 956 1020]
61   0           [729]                                                                                          [750]
63   0           [171 919]                                                                                      [199 947]
4    0           [354]                                                                                          [378]
45   0           [75 117 211 264 465 500 689 737 813 913 967 994]                                               [99 143 241 297 491 526 720 757 845 944 990 1021]
6    0           [258]                                                                                          [287]
14   0           [14 47 80 180 374 401 431 594 668 1000]                                                        [40 71 103 210 400 426 464 615 693]
25   0           [11 49 83 108 140 174 216 284 347 526 580 615 652 682 712 751 777 843 874 934 1006]            [37 73 105 135 170 202 247 312 371 552 608 639 681 709 738 772 799 867 900 963]
31   0           [13 70 104 158 195 222 288 363 395 437 501 556 611 657 687 720 755 789 822 876 921 971 1014]   [39 96 129 179 218 252 315 385 416 468 527 583 634 686 716 743 779 810 849 901 948 997]
38   0           [2 37 73 183 234 267 337 454 552 629 671 740 761 856 891 944 973 1020]                         [28 65 98 213 259 302 360 486 581 657 695 759 786 882 922 971 1000]
