id   timesUsed   pageFaultAt                                                                                                                                                       swappedOutAt
29   0           [27 33 51 77 102 162 214 244 332 351 362 377 432 445 451 466 518 605 621 734 815 826 849 896 937 972 978 1016]                                                    [28 36 52 78 105 163 217 245 333 352 365 379 435 446 452 469 521 606 622 736 816 827 850 897 939 974 979 1021]
44   0           [22 84 178 213 225 341 396 534 541 564 676 723 834 926]                                                                                                           [26 86 182 214 230 343 397 536 546 565 677 724 836 928]
22   0           [44 53 175 200 256 322 371 381 403 442 531 587 592 622 643 743 791 854 894 915 988 996]                                                                           [45 55 178 201 258 323 372 382 407 443 533 589 593 623 644 746 793 857 895 916 989 997]
55   0           [573 697]                                                                                                                                                         [574 699]
7    0           [314 869]                                                                                                                                                         [316 870]
27   0           [65 74 78 99 128 157 202 242 260 271 289 326 334 493 503 609 630 693 753 793 842 868 880 895 975 1003]                                                            [66 75 79 101 129 159 205 243 262 273 293 327 339 495 504 610 634 694 757 794 845 869 881 896 978 1012]
32   0           [52 79 86 165 172 189 223 231 268 285 295 316 358 409 423 449 461 469 495 498 513 529 549 562 568 646 649 656 666 709 758 766 797 852 859 884 928 974 982 1015]   [53 82 87 166 175 193 224 232 270 286 297 317 359 410 426 451 465 471 496 499 515 531 550 563 569 648 650 658 669 714 759 768 798 853 860 886 929 975 983 1016]
41   0           [58 93 153 241 253 299 331 343 359 430 443 480 565 599 669 714 763 780 787 798 860 865 954 959]                                                                   [59 94 154 242 254 301 332 345 360 432 444 482 566 600 675 716 764 783 788 801 863 866 956 966]
4    0           [354]                                                                                                                                                             [358]
57   0           [88 134 759 863]                                                                                                                                                  [89 135 762 864]
0    0           [156 499]                                                                                                                                                         [157 500]
18   0           [71 130 145 187 207 298 304 360 390 438 458 497 563 635 691 701 733 769 831 888 903 907 987]                                                                      [74 133 149 189 211 299 307 362 391 441 459 498 564 636 693 703 734 770 832 890 905 909 988]
35   0           [28 38 116 126 144 205 212 247 254 293 301 369 408 444 483 511 540 551 561 566 570 575 586 591 616 628 654 658 716 794 803 814 841 851 883 887 942 1012]          [29 39 117 128 145 207 213 249 256 295 304 371 409 445 484 512 541 553 562 568 572 579 587 592 617 630 656 660 717 796 804 815 842 852 884 888 945 1015]
51   0           [69 329 345 707 762 804]                                                                                                                                          [71 331 346 709 763 806]
5    0           [4 311]                                                                                                                                                           [116 312]
6    0           [258]                                                                                                                                                             [259]
40   0           [36 59 89 119 133 139 283 317 352 407 485 506 521 644 764 806 827 847 866 916 920 940]                                                                            [38 60 93 121 134 143 285 318 354 408 486 509 522 645 766 807 828 848 867 917 923 942]
20   0           [9 129 149 155 163 235 297 320 348 383 389 426 614 650 684 724 785 809 820 850 918 933 989 993]                                                                   [96 130 150 156 164 236 298 321 351 386 390 429 616 653 689 729 786 811 821 851 919 937 990 994]
48   0           [31 48 107 277 664 703 742 870]                                                                                                                                   [32 50 109 279 665 705 743 872]
43   0           [41 60 259 262 397 441 455 515 539 636 640 746 821 829 832 906 917 923]                                                                                           [42 61 260 263 398 442 458 518 540 637 643 748 826 831 834 907 918 926]
9    0           [263 393 665]                                                                                                                                                     [264 396 666]
60   0           [372 475]                                                                                                                                                         [373 476]
50   0           [66 201 607 808 836 948 953]                                                                                                                                      [68 202 609 809 841 950 954]
54   0           [193 243 245 307 490 538 736 773]                                                                                                                                 [197 244 246 309 492 539 737 774]
46   0           [39 143 159 197 340 382 392 452 557 612 706 722 807 872 881 929 990]                                                                                              [40 144 160 199 341 383 393 455 558 614 707 723 808 875 883 930 993]
23   0           [61 112 123 170 218 251 339 379 418 476 488 527 572 600 637 696 717 771 845 981]                                                                                  [62 113 124 171 223 252 340 381 420 480 490 529 573 605 639 697 719 773 846 982]
11   0           [62 333 595]                                                                                                                                                      [65 334 598]
15   0           [96 124 150 252 346 415 627 677 705 770 857]                                                                                                                      [98 126 153 253 348 416 628 684 706 771 859]
52   0           [327 422 482 502 553 579 617 969]                                                                                                                                 [329 423 483 503 557 586 618 972]
8    0           [87 648 731 890]                                                                                                                                                  [88 649 732 894]
10   0           [286]                                                                                                                                                             [289]
49   0           [598 784 984]                                                                                                                                                     [599 785 987]
16   0           [98 199 249 273 413 420 536 546 560 623 848 939]                                                                                                                  [99 200 251 277 415 421 538 547 561 626 849 940]
59   0           [186 634]                                                                                                                                                         [187 635]
63   0           [171 919]                                                                                                                                                         [172 920]
37   0           [26 55 105 121 182 230 309 325 398 459 473 504 547 550 660 675 757 768 774 788 796 801 828 864 875 956 979 1002]                                                  [27 56 106 123 184 231 310 326 403 461 475 506 549 551 661 676 758 769 780 791 797 803 829 865 880 958 981 1003]
13   0           [68 111 161 310 365 471 509 620 786 853 901 945]                                                                                                                  [69 112 162 311 369 473 511 621 787 854 903 948]
12   0           [10 312 523 610 867 898 983]                                                                                                                                      [186 313 524 612 868 901 984]
19   0           [42 106 236 246 373 388 410 435 486 492 524 533 558 593 606 639 645 662 719 783 930]                                                                              [44 107 238 247 377 389 413 438 488 493 527 534 560 595 607 640 646 664 722 784 933]
45   0           [75 117 211 232 264 279 465 500 689 737 813 913 967 994]                                                                                                          [76 119 212 235 268 283 466 502 691 742 814 914 969 996]
61   0           [729]                                                                                                                                                             [731]
56   0           [8 653 886 997]                                                                                                                                                   [241 654 887 1002]
64   0           [166]                                                                                                                                                             [168]
53   0           [21 135 522]                                                                                                                                                      [31 139 523]
38   36          [2]                                                                                                                                                               []
21   26          [56 76 94]                                                                                                                                                        [58 77]
30   47          [1]                                                                                                                                                               []
25   45          [11]                                                                                                                                                              []
31   48          [13]                                                                                                                                                              []
33   25          [20]                                                                                                                                                              []
26   35          [32 101 113]                                                                                                                                                      [33 102]
42   25          [7]                                                                                                                                                               []
34   1           [160 169 217 224 270 313 318 321 323 386 391 416 421 429 446 484 496 512 569 574 589 618 626 661 694 699 732 748 811 816 846 897 905 909 914 950 958 966 1021]    [161 170 218 225 271 314 320 322 325 388 392 418 422 430 449 485 497 513 570 575 591 620 627 662 696 701 733 753 813 820 847 898 906 913 915 953 959 967]
14   14          [14]                                                                                                                                                              []
24   22          [16]                                                                                                                                                              []
36   28          [29]                                                                                                                                                              []
47   17          [0]                                                                                                                                                               []
39   31          [164 184]                                                                                                                                                         [165]
28   37          [40 45 50 82 109 154 168 238]                                                                                                                                     [41 48 51 84 111 155 169]
17   11          [18]                                                                                                                                                              []
