id,timesUsed,pageFaultAt,swappedOutAt
44,0,[64 92 166],[90 116 190]
43,0,[41 119 160 200],[65 143 185 228]
52,0,[12 37 136],[36 62 161]
50,0,[33],[58]
25,0,[54 113 151],[79 135 175]
19,0,[66 104 221],[95 127 249]
56,0,[128],[151]
35,0,[9 65 129 213],[33 92 154 239]
32,0,[8 56 105 135],[32 82 128 160]
51,0,[58],[85]
57,0,[124 220],[146 247]
21,0,[137 218],[165 245]
16,0,[23 70 131 206],[46 103 156 232]
47,0,[121 199],[145 223]
45,0,[47 82],[70 109]
9,0,[34],[59]
59,0,[27],[49]
38,0,[17 53 212],[42 76 236]
2,0,[11],[34]
42,0,[62 159 211],[88 181 235]
6,0,[24 109],[47 131]
11,0,[16 76],[41 107]
3,0,[126],[147]
53,0,[39],[64]
20,0,[29 103],[53 126]
17,0,[101 149 198],[121 174 222]
10,0,[111 143 178],[134 167 212]
58,0,[75],[105]
28,0,[14 68 155 186],[37 101 177 218]
40,0,[30 102 187 222],[54 124 219 250]
49,0,[42 114 145 219],[66 136 170 246]
18,0,[85 134 175 223],[110 159 206 254]
22,0,[87 115 172],[113 137 200]
24,0,[86 203],[111 230]
41,0,[32 95 217],[56 119 243]
13,0,[49 108 161 191],[72 130 186 221]
61,0,[181],[216]
7,0,[254],[]
34,0,[0 19 61 158 190 228],[18 45 87 179 220]
26,0,[50 107 130 156 185 232],[75 129 155 178 217]
15,0,[173 230],[201]
33,0,[116 147 174 233],[142 173 203]
48,0,[15 90 236],[39 115]
54,0,[245],[]
23,0,[2 45 69 120 176 229],[23 68 102 144 208]
37,0,[6 154 246],[29 176]
39,0,[5 144 179 250],[28 168 213]
29,0,[7 46 79 142 168 208 235],[30 69 108 166 198 233]
36,0,[1 36 67 132 165 201 239],[19 61 97 158 187 229]
27,0,[18 110 170 240],[43 132 199]
30,0,[4 28 59 97 146 177 247],[27 50 86 120 172 211]
31,0,[72 127 167 216 243],[104 149 191 240]
46,0,[3 43 88 249],[24 67 114]
