id   timesUsed   pageFaultAt                                            swappedOutAt
33   0           [116 147 174 196 233 244]                              [118 149 175 198 238 245]
10   0           [111 143 178]                                          [113 145 180]
54   0           [245]                                                  [253]
53   0           [39]                                                   [41]
44   0           [64 92 166]                                            [66 93 169]
51   0           [58 84]                                                [62 85]
49   0           [42 52 114 145 219]                                    [44 53 116 147 220]
59   0           [27]                                                   [29]
15   0           [173 230]                                              [174 232]
21   0           [137 218]                                              [138 219]
61   0           [181]                                                  [182]
16   0           [23 70 131 150 206]                                    [24 72 134 151 209]
2    0           [11]                                                   [100]
43   0           [41 57 119 139 160 169 200]                            [42 58 121 143 161 170 202]
18   0           [85 93 134 175 182 223]                                [86 95 137 178 185 225]
19   0           [66 83 104 221]                                        [70 84 106 222]
58   0           [75]                                                   [76]
3    0           [126]                                                  [128]
24   0           [86 100 203]                                           [87 101 205]
13   0           [49 108 161 171 191 195 205]                           [50 109 162 173 193 196 206]
9    0           [34]                                                   [35]
50   0           [33]                                                   [34]
47   0           [121 138 199 209]                                      [122 139 200 211]
42   0           [62 74 159 211]                                        [63 75 160 212]
11   0           [16 76 80]                                             [74 78 82]
45   0           [47 82]                                                [48 83]
6    0           [24 109]                                               [27 110]
56   0           [128]                                                  [130]
17   0           [101 149 198]                                          [102 150 199]
38   0           [17 21 53 63 212 225 227]                              [18 23 54 64 214 226 230]
57   0           [124 220]                                              [125 221]
26   0           [50 107 122 130 152 156 162 185 189 193 214 232 241]   [52 108 123 131 153 157 166 187 191 194 217 233 244]
41   0           [32 44 55 95 106 217 226 238]                          [33 47 57 98 107 218 227 240]
27   0           [18 35 110 118 170 180 194 240 253]                    [21 39 111 119 171 181 195 241 254]
20   0           [29 103 125]                                           [30 104 126]
25   0           [54 78 113 151 153 157]                                [55 80 114 152 156 159]
40   0           [30 48 102 123 187 202 222]                            [32 49 103 124 189 203 223]
23   10          [2]                                                    []
30   12          [4]                                                    []
35   9           [9]                                                    []
28   7           [14]                                                   []
34   11          [0]                                                    []
37   6           [6]                                                    []
52   3           [12]                                                   []
22   7           [87 98]                                                [92]
36   13          [1]                                                    []
46   7           [3]                                                    []
39   4           [5]                                                    []
29   13          [7]                                                    []
32   5           [8]                                                    []
48   3           [15]                                                   []
7    1           [254]                                                  []
31   6           [72]                                                   []
