id   timesUsed   pageFaultAt                                                                    swappedOutAt
50   0           [121 360 481]                                                                  [122 361 486]
59   0           [94 213]                                                                       [97 214]
32   0           [26 64 67 225 254 299 317 323 357 398 411 416 473 498]                         [27 66 68 227 256 302 318 324 358 399 413 417 475 500]
31   0           [22 25 48 75 81 117 153 177 236 242 264 269 275 285 288 338 355 377 383 456]   [23 26 49 76 84 118 157 179 241 245 266 270 277 286 289 339 356 378 387 457]
46   0           [89 170 339 475]                                                               [90 173 342 476]
35   0           [39 118 143 168 191 247 266 320 353 372 434 449 489 493 505]                   [40 119 144 169 192 248 269 321 354 374 436 454 490 495 506]
30   0           [21 85 98 113 130 282 311 356 387 431 471]                                     [22 87 101 114 131 285 313 357 388 434 472]
10   0           [23 54 69 115 193 423]                                                         [25 55 73 116 196 426]
7    0           [229 344]                                                                      [230 345]
58   0           [180 198]                                                                      [184 204]
45   0           [40 97 101 116 208 214 302 437]                                                [42 98 102 117 209 215 304 443]
16   0           [34 106 109 217 245 248 289 391 417 463 509]                                   [36 107 110 220 247 249 293 398 419 466 510]
43   0           [62 88 91 107 123 128 164 175 249 293 295 354 426 462]                         [64 89 92 108 124 130 168 177 250 294 296 355 428 463]
37   0           [42 114 122 139 197 207 241 279 287 321 325 329 378 410]                       [44 115 123 140 198 208 242 281 288 322 326 330 379 411]
52   0           [419]                                                                          [423]
51   0           [84 184 274 294 327]                                                           [85 185 275 295 328]
5    0           [428]                                                                          [429]
19   0           [28 179 209 259 313 361 469 472 477]                                           [32 180 210 261 315 364 471 473 478]
49   0           [281]                                                                          [282]
47   0           [32 56 76 87 126 224 330 370 380 413 492 506]                                  [33 58 77 88 128 225 331 371 382 416 493 509]
13   0           [19 110 186 192 250 318 389]                                                   [48 111 188 193 253 320 391]
15   0           [55 102 131 256 270 304]                                                       [56 104 138 259 273 311]
42   0           [44 140 152 278 322 332 379 478]                                               [45 141 153 279 323 334 380 481]
20   0           [38 66 124 148 215 232 436 487]                                                [39 67 126 151 217 233 437 488]
54   0           [53 429 495]                                                                   [54 431 498]
8    0           [402]                                                                          [405]
14   0           [3 68 227 405]                                                                 [60 69 229 407]
56   0           [399]                                                                          [400]
38   0           [27 73 147 151 188 204 221 273 296 315 351 371 382 444 490]                    [28 75 148 152 191 207 224 274 297 317 353 372 383 446 491]
64   0           [169]                                                                          [170]
22   0           [52 60 196 220 230 263 277 324 345 443 454]                                    [53 62 197 221 232 264 278 325 348 444 456]
29   0           [49 93 108 119 173 210 233 297 334 342 364 388 409 491 510]                    [52 94 109 121 175 213 236 298 338 344 370 389 410 492 511]
61   0           [331]                                                                          [332]
53   0           [77 447]                                                                       [81 449]
25   0           [33 90 141 261 286 326 358 400 446 476 486 488]                                [34 91 142 263 287 327 360 402 447 477 487 489]
0    0           [2]                                                                            [147]
48   0           [104 374 407 457]                                                              [106 377 409 462]
11   0           [37]                                                                           [38]
44   0           [92 157 185 253 298 328 500]                                                   [93 164 186 254 299 329 505]
24   20          [17]                                                                           []
23   23          [4]                                                                            []
41   17          [5]                                                                            []
39   21          [6]                                                                            []
17   7           [8]                                                                            []
33   18          [9]                                                                            []
27   12          [11]                                                                           []
36   16          [36 58]                                                                        [37]
12   8           [0]                                                                            []
9    1           [142 348 466 511]                                                              [143 351 469]
34   14          [111 138 144]                                                                  [113 139]
40   18          [10]                                                                           []
28   22          [45]                                                                           []
18   14          [13]                                                                           []
26   14          [16]                                                                           []
21   14          [1]                                                                            []
