id,timesUsed,pageFaultAt,swappedOutAt
14,4,[3 68 227 405],[49 70 228 407]
27,12,[11 201 238 262 271 305 435 459 502 507],[101 203 239 263 274 311 436 461 505 509]
25,13,[33 90 141 261 286 326 358 400 446 476 486 488],[34 91 142 262 289 327 360 402 447 477 487 489]
8,1,[402],[405]
18,14,[13 79 155 200 203 228 276 314 335],[66 80 157 201 204 229 277 317 506]
48,4,[104 374 407 457],[105 375 408 458]
15,6,[55 102 131 256 270 304],[56 104 137 259 271 305]
13,7,[19 110 186 192 250 318 389],[26 111 188 193 251 320 391]
5,1,[428],[429]
37,14,[42 114 122 139 197 207 241 279],[44 116 124 140 198 227 245 511]
49,1,[281],[282]
45,8,[40 97 101 116 208 214 302 437],[42 98 102 184 209 215 304 443]
59,2,[94 213],[97 214]
22,11,[52 60 196 220 230 263 277 324 345 443 454],[53 77 197 223 231 266 278 326 346 446 457]
61,1,[331],[332]
26,14,[16 105 137 165 205 223 226 350 367 384 422 461 470],[62 106 138 168 207 224 280 353 370 387 423 463 500]
19,9,[28 179 209 259 313 361 469 472 477],[32 180 210 261 314 366 470 475 478]
42,8,[44 140 152 278 322 332 379 478],[45 141 155 279 323 335 380 480]
16,11,[34 106 109 217 245 248 289 391 417 463 509],[36 108 110 220 247 250 294 396 419 464 510]
46,4,[89 170 339 475],[90 179 343 476]
21,14,[1 458 480],[428 459 481]
54,3,[53 429 495],[54 431 497]
0,1,[2],[58]
64,1,[169],[170]
53,2,[77 447],[79 449]
20,8,[38 66 124 148 215 232 436 487],[39 68 125 150 217 238 437 488]
17,7,[8 80 125 145 251 366 425],[60 84 127 146 253 367 426]
51,5,[84 184 274 294 327],[85 185 276 298 328]
56,1,[399],[400]
11,1,[37],[38]
12,8,[0 231 239 280 283 464],[121 232 241 281 286 466]
10,6,[23 54 193 423],[25 151 196 425]
44,7,[92 157 185 253 298 328 500],[93 159 186 254 299 330 502]
7,2,[229 344],[230 345]
52,1,[419],[422]
50,3,[121 360 481],[122 361 485]
58,2,[180 198],[182 200]
47,12,[32 56 76 224 330 370 380 413 492 506],[33 73 208 225 331 372 384 416 493 507]
30,11,[21 85 98 282 311 356 387 431 471],[22 88 213 283 313 357 389 434 472]
40,18,[10 127],[92]
34,16,[111 138 144 146 150],[114 139 145 147]
31,21,[22 25],[23]
39,21,[6],[]
38,15,[27 73 147 151 188 204],[28 76 148 152 191]
29,15,[49 93 108 119 210 491 510],[52 94 109 205 471 492]
32,16,[26 64 225 254 299 317 323 357 398 411 416],[27 118 226 256 302 318 324 358 399 413]
24,20,[17],[]
28,22,[45],[]
33,18,[9 70 159 182 343 346 375],[55 131 165 339 344 348]
36,17,[36 58 396 408 468 485 497],[37 379 398 411 469 486]
35,15,[39 118 143 168 191 247 266 320 353 372 434 449 489 493 505],[40 119 144 169 192 248 270 322 356 374 435 454 491 495]
9,4,[142 348 466 511],[143 350 468]
23,23,[4],[]
41,17,[5],[]
43,14,[62 88 91 426],[64 89 417]
