id,arriveTime,executionTime,executionTimeLeft,waitTime
0,0,4,0,25
1,0,8,0,140
2,0,6,0,80
3,0,3,0,12
4,0,15,0,449
5,0,10,0,191
6,0,11,0,233
7,0,13,0,393
8,0,13,0,341
9,0,5,0,54
10,0,13,0,328
11,0,8,0,132
12,0,12,0,244
13,0,7,0,118
14,0,8,0,156
15,0,3,0,9
16,0,12,0,292
17,0,4,0,41
18,0,6,0,86
19,0,5,0,59
20,0,14,0,420
21,0,15,0,434
22,0,1,0,0
23,0,6,0,74
24,0,6,0,98
25,0,12,0,316
26,0,3,0,18
27,0,16,0,494
28,0,13,0,354
29,0,12,0,280
30,0,10,0,201
31,0,12,0,268
32,0,4,0,21
33,0,3,0,15
34,0,11,0,222
35,0,8,0,148
36,0,5,0,69
37,0,4,0,37
38,0,3,0,6
39,0,13,0,380
40,0,10,0,181
41,0,1,0,1
42,0,11,0,211
43,0,5,0,49
44,0,15,0,464
45,0,4,0,29
46,0,7,0,104
47,0,14,0,406
48,0,9,0,172
49,0,1,0,2
50,0,13,0,367
51,0,7,0,111
52,0,15,0,479
53,0,6,0,92
54,0,5,0,64
55,0,4,0,33
56,0,8,0,164
57,0,12,0,304
58,0,12,0,256
59,0,16,0,510
60,0,1,0,3
61,0,2,0,4
62,0,7,0,125
63,0,4,0,45
