id,arriveTime,executionTime,executionTimeLeft,waitTime
35,0,1,0,0
11,1,1,0,2
54,1,1,0,1
10,1,1,0,0
52,4,1,0,0
23,7,1,0,7
4,7,1,0,0
30,8,1,0,1
50,8,1,0,0
27,10,1,0,0
12,11,1,0,0
5,12,1,0,1
13,12,1,0,0
1,16,1,0,0
3,19,1,0,0
46,21,1,0,0
57,24,1,0,0
22,26,1,0,0
18,29,1,0,0
59,38,1,0,0
24,40,1,0,0
47,41,1,0,2
25,41,1,0,0
31,42,1,0,0
14,44,1,0,0
6,47,1,0,0
15,49,1,0,0
51,50,1,0,1
37,50,1,0,0
16,52,1,0,7
34,52,1,0,0
62,53,1,0,0
33,54,1,0,4
53,54,1,0,3
36,54,1,0,0
0,55,1,0,0
61,56,1,0,0
8,61,1,0,3
38,61,1,0,0
17,62,1,0,0
20,63,1,0,0
28,66,1,0,0
49,67,1,0,0
40,70,1,0,0
56,71,1,0,0
42,73,1,0,0
63,75,1,0,0
29,77,1,0,0
39,78,1,0,0
60,79,1,0,0
48,81,1,0,0
58,82,1,0,0
55,85,1,0,0
21,92,1,0,0
9,96,1,0,1
44,96,1,0,0
41,101,1,0,0
2,105,1,0,0
43,108,1,0,0
19,109,1,0,0
7,112,1,0,0
26,123,1,0,0
32,127,1,0,0
45,128,1,0,0
