id   arriveTime   executionTime   executionTimeLeft   waitTime
35   0            1               0                   0
11   1            1               0                   0
54   1            1               0                   2
10   1            1               0                   1
52   4            1               0                   0
23   7            1               0                   0
4    7            1               0                   1
30   8            1               0                   2
50   8            1               0                   1
27   10           1               0                   1
12   11           1               0                   1
5    12           1               0                   2
13   12           1               0                   1
1    16           1               0                   0
3    19           1               0                   0
46   21           1               0                   0
57   24           1               0                   0
22   26           1               0                   0
18   29           1               0                   0
59   38           1               0                   0
24   40           1               0                   0
47   41           1               0                   0
25   41           1               0                   1
31   42           1               0                   1
14   44           1               0                   0
6    47           1               0                   0
15   49           1               0                   0
51   50           1               0                   0
37   50           1               0                   1
16   52           1               0                   0
34   52           1               0                   1
62   53           1               0                   1
33   54           1               0                   5
53   54           1               0                   4
36   54           1               0                   1
0    55           1               0                   1
61   56           1               0                   1
8    61           1               0                   0
38   61           1               0                   1
17   62           1               0                   1
20   63           1               0                   1
28   66           1               0                   0
49   67           1               0                   0
40   70           1               0                   0
56   71           1               0                   0
42   73           1               0                   0
63   75           1               0                   0
29   77           1               0                   0
39   78           1               0                   0
60   79           1               0                   0
48   81           1               0                   0
58   82           1               0                   0
55   85           1               0                   0
21   92           1               0                   0
9    96           1               0                   0
44   96           1               0                   1
41   101          1               0                   0
2    105          1               0                   0
43   108          1               0                   0
19   109          1               0                   0
7    112          1               0                   0
26   123          1               0                   0
32   127          1               0                   0
45   128          1               0                   0
