id,arriveTime,executionTime,executionTimeLeft,waitTime
57,0,14,0,0
61,4,9,0,500
17,4,11,0,489
48,5,8,0,480
13,7,1,0,477
58,8,10,0,466
34,10,2,0,462
50,13,12,0,1
60,16,6,0,450
53,19,5,0,442
3,22,11,0,428
20,23,12,0,415
25,25,12,0,401
0,25,5,0,1
45,27,12,0,387
32,31,5,0,378
52,31,6,0,0
5,34,5,0,370
14,36,10,0,6
1,36,1,0,5
49,37,4,0,0
55,46,2,0,356
30,47,4,0,351
11,49,12,0,337
63,49,15,0,322
27,49,16,0,306
6,51,1,0,303
26,52,5,0,0
56,54,9,0,291
18,57,11,0,3
22,57,3,0,0
7,64,8,0,273
43,65,14,0,258
21,66,8,0,249
12,71,14,0,0
59,73,11,0,231
16,74,7,0,223
42,77,6,0,214
39,79,1,0,211
4,79,6,0,205
31,82,12,0,3
46,88,2,0,194
2,89,2,0,191
23,90,12,0,178
54,90,8,0,170
47,91,16,0,153
8,91,7,0,146
19,91,9,0,137
35,92,1,0,135
36,92,15,0,120
33,93,6,0,113
28,94,12,0,100
9,96,8,0,90
41,97,15,0,74
40,97,13,0,0
62,99,6,0,66
37,102,16,0,47
15,106,4,0,9
10,109,4,0,1
29,112,1,0,2
24,118,7,0,24
38,119,5,0,0
44,123,4,0,1
51,127,14,0,1
