id   arriveTime   executionTime   executionTimeLeft   waitTime
57   0            14              0                   211
61   4            9               0                   3
17   4            11              0                   221
48   5            8               0                   63
13   7            1               0                   0
58   8            10              0                   197
34   10           2               0                   0
50   13           12              0                   256
60   16           6               0                   0
53   19           5               0                   3
3    22           11              0                   225
20   23           12              0                   294
25   25           12              0                   256
0    25           5               0                   2
45   27           12              0                   314
32   31           5               0                   1
52   31           6               0                   31
5    34           5               0                   8
14   36           10              0                   159
1    36           1               0                   1
49   37           4               0                   1
55   46           2               0                   1
30   47           4               0                   3
11   49           12              0                   244
63   49           15              0                   371
27   49           16              0                   448
6    51           1               0                   0
26   52           5               0                   2
56   54           9               0                   123
18   57           11              0                   179
22   57           3               0                   2
7    64           8               0                   81
43   65           14              0                   341
21   66           8               0                   87
12   71           14              0                   307
59   73           11              0                   185
16   74           7               0                   3
42   77           6               0                   7
39   79           1               0                   0
4    79           6               0                   16
31   82           12              0                   223
46   88           2               0                   2
2    89           2               0                   4
23   90           12              0                   239
54   90           8               0                   71
47   91           16              0                   390
8    91           7               0                   40
19   91           9               0                   95
35   92           1               0                   0
36   92           15              0                   358
33   93           6               0                   8
28   94           12              0                   259
9    96           8               0                   73
41   97           15              0                   338
40   97           13              0                   268
62   99           6               0                   17
37   102          16              0                   363
15   106          4               0                   1
10   109          4               0                   3
29   112          1               0                   0
24   118          7               0                   20
38   119          5               0                   3
44   123          4               0                   4
51   127          14              0                   265
