id   arriveTime   executionTime   executionTimeLeft   waitTime
20   5            9               0                   915
31   7            18              0                   897
33   8            25              0                   872
52   11           13              0                   859
17   12           26              0                   833
9    14           3               0                   0
8    17           32              0                   798
30   18           6               0                   792
46   18           29              0                   763
5    22           10              0                   753
42   23           18              0                   735
18   24           21              0                   714
7    28           30              0                   684
19   29           23              0                   661
53   33           19              0                   642
62   33           27              0                   615
11   34           12              0                   603
25   34           10              0                   593
41   35           1               0                   0
34   36           15              0                   577
45   38           4               0                   0
57   47           2               0                   0
48   49           2               0                   569
23   50           6               0                   563
14   51           5               0                   558
47   52           7               0                   551
55   52           4               0                   547
10   54           10              0                   537
60   56           17              0                   520
43   60           1               0                   0
54   62           6               0                   513
21   63           11              0                   502
15   65           9               0                   493
28   68           31              0                   462
26   69           7               0                   455
51   74           30              0                   425
56   75           16              0                   409
36   76           16              0                   393
16   78           31              0                   362
3    81           11              0                   351
32   84           24              0                   327
35   85           3               0                   324
63   85           17              0                   307
40   92           21              0                   286
29   92           2               0                   284
50   93           4               0                   280
39   95           27              0                   253
49   95           20              0                   233
58   95           7               0                   0
59   102          30              0                   196
1    103          1               0                   0
61   104          2               0                   0
22   106          29              0                   164
2    106          24              0                   140
0    112          11              0                   129
44   113          1               0                   0
38   114          20              0                   108
27   117          19              0                   89
12   117          20              0                   69
13   118          28              0                   41
6    121          6               0                   35
24   123          15              0                   20
4    124          1               0                   0
37   125          19              0                   0
