id   arriveTime   executionTime   executionTimeLeft   waitTime
48   7            23              0                   0
62   9            24              0                   870
13   20           2               0                   857
57   25           22              0                   5
21   35           2               0                   840
29   49           19              0                   3
26   54           23              0                   798
3    58           4               0                   790
23   61           21              0                   766
47   64           2               0                   761
50   65           3               0                   757
17   66           2               0                   754
27   67           6               0                   4
43   72           12              0                   736
28   73           10              0                   4
12   84           9               0                   3
5    88           28              0                   109
37   96           5               0                   0
15   101          15              0                   0
11   105          24              0                   45
40   110          3               0                   37
9    115          15              0                   1
33   120          16              0                   11
60   155          23              0                   19
46   199          17              0                   592
0    199          15              0                   577
32   224          29              0                   1
31   244          32              0                   500
24   250          15              0                   4
55   256          3               0                   485
44   265          18              0                   458
35   266          11              0                   3
14   275          16              0                   5
45   291          22              0                   17
56   295          12              0                   1
19   324          8               0                   391
6    327          11              0                   3
36   335          24              0                   356
63   340          23              0                   1
42   357          22              0                   11
59   363          4               0                   1
51   370          12              0                   309
7    373          8               0                   298
34   377          19              0                   275
1    379          4               0                   269
20   381          9               0                   258
2    389          10              0                   1
53   392          21              0                   226
49   396          1               0                   16
58   397          12              0                   3
18   413          6               0                   0
22   414          3               0                   5
38   420          7               0                   191
25   421          17              0                   173
39   422          27              0                   0
30   429          9               0                   156
10   445          4               0                   4
16   452          18              0                   1
41   467          31              0                   87
54   468          21              0                   65
4    469          22              0                   2
52   491          2               0                   40
8    491          19              0                   2
61   511          19              0                   1
